28342;Bjorli;bjorli;7600805;;62.258246;8.201236;;NO;Europe/Oslo;f;f;f;f;f;f;;;f;;f;7600197;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;NOACK;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv28342
28343;Åndalsnes;andalsnes;7600810;;62.567205;7.691089;;NO;Europe/Oslo;f;f;f;f;f;f;;;f;;f;7600006;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;NOACL;f;;f;f;;;;;;;;;;;;オンダルスネス;;;;;;;翁達爾斯內斯;urn:trainline:public:nloc:csv28343
28344;Hjerkinn;hjerkinn;7601102;;62.215259;9.564486;;NO;Europe/Oslo;f;f;f;f;f;f;;;f;;f;7600110;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;NOACO;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv28344
28345;Kongsvoll;kongsvoll;7601103;;62.374467;9.623491;;NO;Europe/Oslo;f;f;f;f;f;f;;;f;;f;7600230;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;NOACP;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv28345
28346;Oppdal;oppdal;7601107;;62.613158;9.712161;;NO;Europe/Oslo;f;f;f;f;f;f;;;f;;f;7600111;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;NOACQ;f;;f;f;;;;;;;;;;;;;;;;Оппдал;;;奧普達爾;urn:trainline:public:nloc:csv28346
28347;Berkåk;berkak;7601110;;62.841583;10.05767;;NO;Europe/Oslo;f;f;f;f;f;f;;;f;;f;7600112;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;NOACS;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv28347
28348;Storen;storen;7601114;;63.05175;10.285304;;NO;Europe/Oslo;f;f;f;f;f;f;;;f;;f;7600236;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;NOACT;f;;f;f;;;;;;;;;;;;;;;;;;;斯特倫;urn:trainline:public:nloc:csv28348
28349;Heimdal;heimdal;7601122;;63.351019;10.357622;;NO;Europe/Oslo;f;f;f;f;f;f;;;f;;f;7600113;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;NOACU;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv28349
28350;Leangen;leangen;7601201;;63.436956;10.464064;;NO;Europe/Oslo;f;f;f;f;f;f;;;f;;f;7600247;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;NOACV;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv28350
28351;Hommelvik;hommelvik;7601207;;63.411786;10.794013;;NO;Europe/Oslo;f;f;f;f;f;f;;;f;;f;7689011;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;NOACW;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv28351
